report_date,keyword,rubicon_paid_impressions,rubicon_revenue,dfp_impressions,value_cpm
2016-02-16,ar_mor1_728x90_1,45,0.0,46.0,0.0
2016-02-17,ar_mor1_728x90_1,57,0.0,71.0,0.0
2016-02-16,ar_mor1_728x90_2,47,0.0,48.0,0.0
2016-02-17,ar_mor1_728x90_2,76,0.01,95.0,0.09263158
2016-02-16,ar_mor1_728x90_3,51,0.0,52.0,0.0
2016-02-17,ar_mor1_728x90_3,75,0.01,94.0,0.09361702
2016-02-16,gut_313,65396,6.94,66117.0,0.09236959
2016-02-17,gut_313,61264,6.51,76792.0,0.07460152
2016-02-16,gut_313_1,165070,14.93,166941.0,0.07870086
2016-02-17,gut_313_1,153457,14.02,192352.0,0.06414074
2016-02-16,gut_313_3,156147,15.13,157918.0,0.08431211
2016-02-17,gut_313_3,144617,13.87,181271.0,0.06733344
2016-02-16,gut_313_4,98782,8.08,99902.0,0.07117375
2016-02-17,gut_313_4,81727,6.82,102439.0,0.05858706
2016-02-16,gut_636_1,37996,8.47,38426.0,0.19397284
2016-02-17,gut_636_1,29997,7.81,37600.0,0.18278723
2016-02-16,gut_636_2,152,0.02,154.0,0.11428571
2016-02-17,gut_636_2,142,0.03,177.0,0.14915254
2016-02-16,gut_636_3,50032,8.79,50600.0,0.15286956
2016-02-17,gut_636_3,37565,8.07,47087.0,0.15081869
2016-02-16,gut_636_4,51841,9.37,52429.0,0.15727174
2016-02-17,gut_636_4,39211,8.76,49149.0,0.15684551
2016-02-16,gut_636_5,65436,18.28,66177.0,0.24308144
2016-02-17,gut_636_5,49887,16.28,62531.0,0.22910877
2016-02-16,gut_670_1,124,0.03,125.0,0.2112
2016-02-17,gut_670_1,56,0.02,70.0,0.25142857
2016-02-16,gut_670_2,122,0.03,123.0,0.21463414
2016-02-17,gut_670_2,57,0.02,71.0,0.24788732
2016-02-16,gut_703_1,30204,2.9,30546.0,0.08354613
2016-02-17,gut_703_1,38145,3.83,47813.0,0.07049129
2016-02-16,gut_703_2,32828,2.41,33200.0,0.06387952
2016-02-17,gut_703_2,39294,3.37,49253.0,0.06021156
2016-02-16,gut_703_3,230,0.02,232.0,0.07586207
2016-02-17,gut_703_3,293,0.03,366.0,0.07213115
2016-02-16,gut_703_4,33302,2.56,33679.0,0.06689035
2016-02-17,gut_703_4,40076,3.59,50233.0,0.06289093
2016-02-16,gut_703_5,34747,3.02,35141.0,0.07562676
2016-02-17,gut_703_5,42566,4.24,53354.0,0.0699329
2016-02-16,gut_706_3,27,0.01,27.0,0.32592592
2016-02-17,gut_706_3,24,0.0,30.0,0.0
2016-02-16,gut_706_4,22,0.01,22.0,0.39999999
2016-02-17,gut_706_4,22,0.0,28.0,0.0
2016-02-16,gut_706_5,40,0.02,40.0,0.43999999
2016-02-17,gut_706_5,42,0.02,53.0,0.33207546
2016-02-16,gut_708_1,3357,0.78,3396.0,0.20212013
2016-02-17,gut_708_1,2816,0.75,3525.0,0.18723404
2016-02-16,gut_708_3,19989,3.67,20215.0,0.15976256
2016-02-17,gut_708_3,15793,3.52,19796.0,0.15647605
2016-02-16,gut_708_4,20427,3.75,20658.0,0.15974441
2016-02-17,gut_708_4,16295,3.73,20425.0,0.16070502
2016-02-16,gut_708_5,26101,7.56,26397.0,0.25202864
2016-02-17,gut_708_5,21007,7.17,26331.0,0.2396263
2016-02-16,gut_742_1,53451,10.75,54056.0,0.1750037
2016-02-17,gut_742_1,43611,7.84,54664.0,0.12621104
2016-02-16,gut_742_2,326,0.03,318.0,0.08301887
2016-02-17,gut_742_2,278,0.03,342.0,0.07719298
2016-02-16,gut_742_3,129028,27.38,130488.0,0.18464839
2016-02-17,gut_742_3,95831,18.41,120119.0,0.13487292
2016-02-16,gut_742_4,128036,24.74,129486.0,0.16813555
2016-02-17,gut_742_4,94731,16.71,118740.0,0.12384032
2016-02-16,gut_742_5,184929,68.03,187025.0,0.32009838
2016-02-17,gut_742_5,138099,48.05,173099.0,0.24427639
2016-02-16,gut_750_1,3274,0.63,3311.0,0.16744186
2016-02-17,gut_750_1,3179,0.57,3985.0,0.12587202
